Title	Document.URL	Court.Line	Citation	Filed.Date	Summary
Yates v. Collier	https://www.westlaw.com/Document/Ib6b97980847811e7b7978f65e9bf93b3/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	--- F.3d ----	August 18, 2017	Background: Inmates at Texas prison brought putative class action against Texas Department of Criminal Justice (TDCJ) and two prison officials, alleging violations of Eighth Amendment, Americans with Disabilities Act (ADA), and the Rehabilitation Act due to high temperatures in prison housing areas. The United States District Court for the...
Rothe Development Corp. v. Department of Defense	https://www.westlaw.com/Document/I9e26f4acaa5811ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	545 F.3d 1023	November 04, 2008	GOVERNMENT CONTRACTS - Bidding. Studies were insufficient to form basis to uphold statute setting defense contract goal for minority-owned businesses.
R.J. Reynolds Tobacco Co. v. Food and Drug Admin.	https://www.westlaw.com/Document/I7c0146c8ee2311e1b11ea85d0b248d27/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	696 F.3d 1205	August 24, 2012	CIVIL RIGHTS - Free Speech. Graphic warnings on cigarette advertising would not directly advance interest in reducing smoking rates.
Harris v. Amgen, Inc.	https://www.westlaw.com/Document/Ia8abc489606511e49488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	770 F.3d 865	October 30, 2014	Background: Pension participants, current and former employees, brought class action against plan fiduciaries under Employee Retirement Income Security Act (ERISA), alleging they breached their fiduciary duties by allowing participants' defined contribution pension plans to purchase and hold employer's stock despite knowing that its price was...
Carmichael v. Chappius	https://www.westlaw.com/Document/I366ee850f56c11e6b28da5a53aeba485/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	848 F.3d 536	February 17, 2017	CRIMINAL JUSTICE - Habeas Corpus. State court's conclusion that peremptory challenges were not discriminatory was not unreasonable application of federal law, precluding habeas relief.
In re Neurontin Marketing and Sales Practices Litigation	https://www.westlaw.com/Document/I268adf299c9d11e2981ea20c4f198a69/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	712 F.3d 21	April 03, 2013	TORTS - RICO. Pharmaceutical manufacturer's fraudulent marketing proximately caused injury to third-party payor.
Pennsylvania Employees Ben. Trust Fund v. Zeneca Inc.	https://www.westlaw.com/Document/Iac11d9d650a111dca1e6fa81e64372bf/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	499 F.3d 239	August 17, 2007	COMMERCIAL LAW - Consumer Protection. State-law deceptive advertising claim against prescription drug maker was impliedly preempted by FDCA, FDA regulations.
U.S. v. Montgomery	https://www.westlaw.com/Document/I09ba878c5f9511e0af6af9916f973d19/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	635 F.3d 1074	April 05, 2011	CRIMINAL JUSTICE - Kidnapping. Cutting fetus from woman's body was kidnapping resulting in death, even though woman died before kidnapping was completed.
Harris v. Amgen, Inc.	https://www.westlaw.com/Document/I216bcc60cd4011e2a98ec867961a22de/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	717 F.3d 1042	June 04, 2013	LABOR AND EMPLOYMENT - Benefit Plans. Presumption of prudence did not apply to participant's breach of fiduciary duty claims.
Harris v. Amgen, Inc.	https://www.westlaw.com/Document/Ibc76aa073c1511e38912df21cb42a557/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	738 F.3d 1026	October 23, 2013	LABOR AND EMPLOYMENT - Benefit Plans. Presumption of prudence did not apply to participant's breach of fiduciary duty claims.
Gupta v. New York City School Const. Authority	https://www.westlaw.com/Document/I0bb0607cd03711ddbc7bf97f340af743/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	305 Fed.Appx. 687	December 19, 2008	LABOR AND EMPLOYMENT - Discrimination. Terminated employee failed to establish prima facie case of race or age discrimination.
Mississippi Public Employees' Retirement System v. Boston Scientific Corp.	https://www.westlaw.com/Document/Ic40d61d3c74f11e086cdc006bc7eafe7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	649 F.3d 5	August 04, 2011	SECURITIES REGULATION - Fraud. Coronary stent manufacturer and its executives did not act with the scienter required to establish securities fraud.
Baker v. Chevron U.S.A. Inc.	https://www.westlaw.com/Document/If717e666fddb11e28503bda794601919/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	533 Fed.Appx. 509	August 02, 2013	LITIGATION - Evidence. Expert witness's opinion that cumulative benzene exposure caused blood diseases was unreliable in action against refinery.
Harris v. Amgen, Inc.	https://www.westlaw.com/Document/I5673e8af03c711e5a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	788 F.3d 916	October 30, 2014	Background: Pension participants, current and former employees, brought class action against plan fiduciaries under Employee Retirement Income Security Act (ERISA), alleging they breached their fiduciary duties by allowing participants' defined contribution pension plans to purchase and hold employer's stock despite knowing that its price was...
E.E.O.C. v. Allstate Ins. Co.	https://www.westlaw.com/Document/I45fb155f36e011ddb7e483ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	528 F.3d 1042	June 10, 2008	LABOR AND EMPLOYMENT - Discrimination. Insurance company's rehire policy restricting rehire of former employee-agents was an employment policy subject to ADEA.
Holladay v. Allen	https://www.westlaw.com/Document/Ie0f14594ef0b11ddb77d9846f86fae5c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	555 F.3d 1346	January 30, 2009	CRIMINAL JUSTICE - Death Penalty. Habeas petitioner was mentally retarded and ineligible for death penalty.
S.E.C. v. Razmilovic	https://www.westlaw.com/Document/Iaf5197f656e011e3a341ea44e5e1f25f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	738 F.3d 14	July 22, 2013	Background: Securities and Exchange Commission (SEC) brought civil enforcement action against alleging that company, its president and chief executive officer (CEO), and other officers and employees engaged in fraudulent and manipulative practices in violation of federal securities laws. The United States District Court for the Eastern District of...
Cazorla v. Koch Foods of Mississippi, L.L.C.	https://www.westlaw.com/Document/Ifa572c10859f11e6b63ccfe393a33906/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	838 F.3d 540	September 27, 2016	LABOR AND EMPLOYMENT - Discovery. Employer could obtain U-visa information from employees, but not EEOC, in discrimination suit alleging abuse.
National Association for Surface Finishing v. E.P.A.	https://www.westlaw.com/Document/I43c4f1db302d11e5a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	795 F.3d 1	July 21, 2015	ENVIRONMENTAL LAW - Clean Air. EPA reasonably determined that revision of emissions standards for hexavalent chromium was warranted.
Hood v. Gilster-Mary Lee Corp.	https://www.westlaw.com/Document/Ic629fe91f07811e4a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	785 F.3d 263	May 01, 2015	LITIGATION - Removal. Employees failed to show local-controversy exception to CAFA applied in their action against employer.
Graoch Associates # 33, L.P. v. Louisville/Jefferson County Metro Human Relations Com'n	https://www.westlaw.com/Document/I86abc4c9982811dca1e6fa81e64372bf/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	508 F.3d 366	November 21, 2007	REAL PROPERTY - Subsidized Housing. County human relations commission failed to make out a prima facie case of discrimination under FHA.
Seat Sack, Inc. v. Childcraft Educ. Corp.	https://www.westlaw.com/Document/I18d93d6f5b0111e0b63e897ab6fa6920/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	417 Fed.Appx. 931	March 30, 2011	TRADEMARKS - Advertising. Manufacturer failed to provide evidence of actual consumer confusion as required to establish a false advertising claim.
M.O.C.H.A. Society, Inc. v. City of Buffalo	https://www.westlaw.com/Document/I98de3128da7611e1b11ea85d0b248d27/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	689 F.3d 263	July 30, 2012	LABOR AND EMPLOYMENT - Discrimination. District court did not clearly err in finding that examination on which city relied in making promotions were job related.
Forte v. Liquidnet Holdings, Inc.	https://www.westlaw.com/Document/I583642d0d81611e6ac07a76176915fee/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	675 Fed.Appx. 21	January 10, 2017	LABOR AND EMPLOYMENT - Discrimination. Employee failed to demonstrate that employer's proffered reason for her termination, performance shortcomings, was pretext for gender discrimination.
Johnson v. City and County of San Francisco	https://www.westlaw.com/Document/I59c37976137d11e49488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	583 Fed.Appx. 758	July 24, 2014	LABOR AND EMPLOYMENT - Discrimination. African-American firefighters did not show unlawful discrimination, barring disparate treatment claims for non-promotion.
Dukes v. Wal-Mart, Inc.	https://www.westlaw.com/Document/Icaaa4914b5e411dbb38df5bc58c34d92/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	474 F.3d 1214	February 06, 2007	LITIGATION - Class Actions. Female employees' class action against Wal-Mart could proceed.
Kurz v. Fidelity Management & Research Co.	https://www.westlaw.com/Document/I7718fa4901a911deb77d9846f86fae5c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	556 F.3d 639	February 23, 2009	SECURITIES REGULATION - Investment Advisors. Breach of contract claims against investment advisor were barred by Securities Litigation Uniform Standards Act.
Thompson v. Glades County Bd. of County Com'rs	https://www.westlaw.com/Document/I343b07a03a0a11dcaf8dafd7ee2b8b26/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	493 F.3d 1253	July 24, 2007	GOVERNMENT - Elections. Lower court clearly erred in finding that district in illustrative plan for remedying vote dilution was influence district.
National Ass'n of Mfrs. v. Occupational Safety & Health Admin.	https://www.westlaw.com/Document/I9339aa19ffcd11dbafc6849dc347959a/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	485 F.3d 1201	May 11, 2007	LABOR AND EMPLOYMENT - Occupational Safety. Latest edition of list of dangerous chemicals did not trigger 60-day judicial review clock.
McAirlaids, Inc. v. Kimberly-Clark Corp.	https://www.westlaw.com/Document/I2c07cc99fc9211e39488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	756 F.3d 307	June 25, 2014	TRADEMARKS - Trade Dress. A fact issue existed as to whether a pixel pattern resulting from a textile pressure-bonding process was functional.
In re Pet Food Products Liability Litigation	https://www.westlaw.com/Document/I4355cf3da8a911deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	345 Fed.Appx. 857	September 23, 2009	TORTS - Motion Practice. Movant for intervention did not demonstrate sufficient interest in related federal litigation to warrant intervention.
Jock v. Sterling Jewelers Inc.	https://www.westlaw.com/Document/I364dfa87a70511e086cdc006bc7eafe7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	646 F.3d 113	July 01, 2011	LABOR AND EMPLOYMENT - Arbitration. Arbitrator did not exceed her authority in determining that arbitration agreement implicitly permitted class arbitration.
Holowecki v. Federal Exp. Corp.	https://www.westlaw.com/Document/I644b4288838f11dfbd1deb0d18fe7234/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	382 Fed.Appx. 42	June 24, 2010	LABOR AND EMPLOYMENT - Discrimination. Employer's termination of employees due to poor performance was not pretext for age discrimination in violation of Age Discrimination in Employment Act (ADEA).
Panther Partners Inc. v. Ikanos Communications, Inc.	https://www.westlaw.com/Document/I6705f033a3a411de8bf6cd8525c41437/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	347 Fed.Appx. 617	September 17, 2009	SECURITIES REGULATION - Pleading. Investor failed to state claim against corporation for negligently making false statements in registration statement.
Gonzalez v. Arizona	https://www.westlaw.com/Document/I27001fa7887b11e1ac60ad556f635d49/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	677 F.3d 383	April 17, 2012	GOVERNMENT - Elections. Arizona's requirement that prospective voters provide documentary proof of citizenship was superseded by NVRA.
Farrakhan v. Gregoire	https://www.westlaw.com/Document/I9b3b628cdaaa11dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	623 F.3d 990	October 07, 2010	GOVERNMENT - Elections. Washington's felon disenfranchisement law did not violate Voting Rights Act (VRA) provision prohibiting race discrimination.
E.E.O.C. v. Freeman	https://www.westlaw.com/Document/Ide84368fb9f511e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	778 F.3d 463	February 20, 2015	Background: The Equal Employment Opportunity Commission (EEOC) brought action against an employer alleging that it had implemented hiring policy involving criminal background and/or credit history checks that, although facially neutral, had a disparate impact on black and male applicants, in violation of Title VII of the Civil Rights Act of 1964....
U.S. v. Cortez-Galaviz	https://www.westlaw.com/Document/Id559c9983fa411dcb979ebb8243d536d/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	495 F.3d 1203	July 31, 2007	CRIMINAL JUSTICE - Investigatory Stop. A not found report from state insurance database gave rise to a reasonable suspicion to conduct traffic stop.
Koehn v. Secretary of Health and Human Services	https://www.westlaw.com/Document/Ia97daa857bfb11e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	773 F.3d 1239	December 04, 2014	HEALTH - Vaccines. Evidence did not establish proximate temporal relationship between vaccine and injury, as required to support Vaccine Act claim.
Blunt v. Lower Merion School Dist.	https://www.westlaw.com/Document/Ifcc7f9ed3aab11e49488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	767 F.3d 247	September 12, 2014	EDUCATION - Civil Rights. School district was entitled to summary judgment in African-American students' suit alleging racial discrimination.
Bates v. U.S.	https://www.westlaw.com/Document/Ib9d9a9d17cda11e196ddf76f9be2cc49/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	473 Fed.Appx. 446	April 02, 2012	CRIMINAL JUSTICE - Postconviction Relief. Prisoner failed to show good cause and prejudice, so as to permit collateral review of Sixth Amendment claim that was not raised at trial.
Jackson v. Watkins	https://www.westlaw.com/Document/I8544ec18bf3611dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	619 F.3d 463	September 13, 2010	LABOR AND EMPLOYMENT - Discrimination. Caucasian employee failed to rebut one of district attorney's four proffered nondiscriminatory reasons for firing him.
United States v. Saavedra	https://www.westlaw.com/Document/Ia94e052074a411e69981dc2250b07c82/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	661 Fed.Appx. 37	September 06, 2016	GOVERNMENT CONTRACTS - False Claims. Evidence supported finding that former director of federally-subsidized career center presented a false claim by falsifying job placement records.
Houston Professional Towing Ass'n v. City of Houston	https://www.westlaw.com/Document/I79376135ce0c11e590d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	812 F.3d 443	February 03, 2016	TRANSPORTATION - Motor Vehicles. Res judicata barred preemption claim brought by association of tow-truck operators against city.
Yakima Valley Memorial Hosp. v. Washington State Dept. of Health	https://www.westlaw.com/Document/I56b32aff244611e39ac8bab74931929c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	731 F.3d 843	September 23, 2013	HEALTH - Hospitals. Regulations limiting elective PCIs to hospitals with minimum annual volume of 300 procedures did not violate Commerce Clause.
Carraher v. Target Corp.	https://www.westlaw.com/Document/I31e7743b66b811dcb979ebb8243d536d/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	503 F.3d 714	September 19, 2007	LABOR AND EMPLOYMENT - Discrimination. Employer's proffered reason for terminating employee, that he walked off job, was not pretext for age discrimination.
Clark v. Kellogg Brown & Root L.L.C.	https://www.westlaw.com/Document/Ib50a983233c111e0852cd4369a8093f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	414 Fed.Appx. 623	February 04, 2011	MARITIME LAW - Personal Injury. Featherweight, producing standard of causation applied to seaman's Jones Act personal injury action.
Dryer v. National Football League	https://www.westlaw.com/Document/I685fc5bedeb211e5a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	814 F.3d 938	February 26, 2016	TRADEMARKS - Name or Likeness. National Football League historical films depicting former professional football players were not misleading in violation of Lanham Act.
Seaman v. Seacor Marine L.L.C.	https://www.westlaw.com/Document/Ib6ac78b48e3911deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals for the Fifth Circuit	326 Fed.Appx. 721	April 30, 2009	MARITIME LAW - Personal Injury. Expert opinion that was neither factually supported nor scientifically reliable was inadmissible in Jones Act suit.
